attack,mode,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,A_base,0.501083,0.0000,750
center_crop_0.5,B_ms,0.525250,0.0493,750
center_crop_0.5,C_ms_geo,0.525250,0.0493,750
center_crop_0.5,D_ecc,0.983167,0.8760,750
center_crop_0.5,E_ms_ecc,0.992000,0.9453,750
center_crop_0.5,F_ms_ecc_geo,0.992000,0.9453,750
flip_h,A_base,0.631750,0.0000,750
flip_h,B_ms,0.614917,0.0000,750
flip_h,C_ms_geo,0.614917,0.0000,750
flip_h,D_ecc,0.881667,0.1707,750
flip_h,E_ms_ecc,0.882000,0.1733,750
flip_h,F_ms_ecc_geo,0.882000,0.1733,750
jpeg_q30,A_base,0.998708,0.9587,750
jpeg_q30,B_ms,0.826167,0.4467,750
jpeg_q30,C_ms_geo,0.826167,0.4467,750
jpeg_q30,D_ecc,1.000000,1.0000,750
jpeg_q30,E_ms_ecc,0.997000,0.9880,750
jpeg_q30,F_ms_ecc_geo,0.997000,0.9880,750
none,A_base,0.999333,0.9787,750
none,B_ms,0.854000,0.4267,750
none,C_ms_geo,0.854000,0.4267,750
none,D_ecc,1.000000,1.0000,750
none,E_ms_ecc,1.000000,1.0000,750
none,F_ms_ecc_geo,1.000000,1.0000,750
random_crop_0.5,A_base,0.506167,0.0000,750
random_crop_0.5,B_ms,0.578958,0.0253,750
random_crop_0.5,C_ms_geo,0.578958,0.0253,750
random_crop_0.5,D_ecc,0.910667,0.6240,750
random_crop_0.5,E_ms_ecc,0.850833,0.4627,750
random_crop_0.5,F_ms_ecc_geo,0.850833,0.4627,750
resize_0.25,A_base,0.945125,0.1080,750
resize_0.25,B_ms,0.892583,0.0880,750
resize_0.25,C_ms_geo,0.892583,0.0880,750
resize_0.25,D_ecc,0.873000,0.0107,750
resize_0.25,E_ms_ecc,0.873833,0.0173,750
resize_0.25,F_ms_ecc_geo,0.873833,0.0173,750
rotate_73,A_base,0.431667,0.0000,750
rotate_73,B_ms,0.469125,0.0000,750
rotate_73,C_ms_geo,0.859625,0.0000,750
rotate_73,D_ecc,0.998500,0.9973,750
rotate_73,E_ms_ecc,0.997500,0.9880,750
rotate_73,F_ms_ecc_geo,0.997500,0.9880,750
