coding,attack,mean_payload_accuracy,payload_success_rate,min_payload_accuracy,mean_full_bit_accuracy,num_images
hamming74_10,crop_bottom_right_50,0.500000,0.000000,0.500000,0.517500,50
hamming74_10,crop_center_50,0.500000,0.000000,0.500000,0.528750,50
hamming74_10,jpeg_q20,0.998000,0.980000,0.900000,0.979375,50
hamming74_10,jpeg_q30,1.000000,1.000000,1.000000,0.997500,50
hamming74_10,none,1.000000,1.000000,1.000000,0.973125,50
hamming74_10,resize_0.25_jpeg_q50,0.940000,0.540000,0.700000,0.886875,50
hamming74_interleaved10,crop_bottom_right_50,0.508000,0.000000,0.500000,0.468125,50
hamming74_interleaved10,crop_center_50,0.502000,0.000000,0.500000,0.519375,50
hamming74_interleaved10,jpeg_q20,0.996000,0.980000,0.800000,0.939375,50
hamming74_interleaved10,jpeg_q30,0.996000,0.980000,0.800000,0.965000,50
hamming74_interleaved10,none,0.998000,0.980000,0.900000,0.876875,50
hamming74_interleaved10,resize_0.25_jpeg_q50,0.742000,0.100000,0.500000,0.819375,50
rep3_adjacent10,crop_bottom_right_50,0.524000,0.000000,0.500000,0.509375,50
rep3_adjacent10,crop_center_50,0.528000,0.000000,0.500000,0.515000,50
rep3_adjacent10,jpeg_q20,1.000000,1.000000,1.000000,0.913750,50
rep3_adjacent10,jpeg_q30,0.998000,0.980000,0.900000,0.980625,50
rep3_adjacent10,none,1.000000,1.000000,1.000000,0.958125,50
rep3_adjacent10,resize_0.25_jpeg_q50,0.994000,0.940000,0.900000,0.886250,50
rep3_interleaved10,crop_bottom_right_50,0.504000,0.000000,0.400000,0.456875,50
rep3_interleaved10,crop_center_50,0.508000,0.000000,0.300000,0.481250,50
rep3_interleaved10,jpeg_q20,1.000000,1.000000,1.000000,0.974375,50
rep3_interleaved10,jpeg_q30,1.000000,1.000000,1.000000,0.996250,50
rep3_interleaved10,none,1.000000,1.000000,1.000000,0.970625,50
rep3_interleaved10,resize_0.25_jpeg_q50,0.998000,0.980000,0.900000,0.915000,50
uncoded10,crop_bottom_right_50,0.496000,0.000000,0.400000,0.352500,50
uncoded10,crop_center_50,0.498000,0.000000,0.400000,0.545000,50
uncoded10,jpeg_q20,0.894000,0.280000,0.700000,0.964375,50
uncoded10,jpeg_q30,0.998000,0.980000,0.900000,0.999375,50
uncoded10,none,0.988000,0.880000,0.900000,0.968125,50
uncoded10,resize_0.25_jpeg_q50,0.862000,0.100000,0.700000,0.956250,50
