scaling_w,attack,mean_bit_accuracy,min_bit_accuracy,mean_clean_psnr,num_images
0.2500,center_crop_0.5,0.938750,0.843750,28.3245,50
0.2500,jpeg_q20,0.838125,0.718750,28.3245,50
0.2500,jpeg_q30,0.877500,0.781250,28.3245,50
0.2500,jpeg_q50,0.918750,0.843750,28.3245,50
0.2500,none,1.000000,1.000000,28.3245,50
0.2500,resize_0.25,0.963750,0.937500,28.3245,50
0.2500,resize_0.25_jpeg_q50,0.850625,0.781250,28.3245,50
0.2500,resize_0.5,1.000000,1.000000,28.3245,50
0.5000,center_crop_0.5,0.795625,0.000000,22.4481,50
0.5000,jpeg_q20,0.871875,0.781250,22.4481,50
0.5000,jpeg_q30,0.926875,0.843750,22.4481,50
0.5000,jpeg_q50,0.946875,0.875000,22.4481,50
0.5000,none,1.000000,1.000000,22.4481,50
0.5000,resize_0.25,0.939375,0.875000,22.4481,50
0.5000,resize_0.25_jpeg_q50,0.873125,0.750000,22.4481,50
0.5000,resize_0.5,1.000000,1.000000,22.4481,50
1.0000,center_crop_0.5,0.487500,0.000000,16.8238,50
1.0000,jpeg_q20,0.926875,0.843750,16.8238,50
1.0000,jpeg_q30,0.933750,0.906250,16.8238,50
1.0000,jpeg_q50,0.973125,0.937500,16.8238,50
1.0000,none,1.000000,1.000000,16.8238,50
1.0000,resize_0.25,0.916875,0.875000,16.8238,50
1.0000,resize_0.25_jpeg_q50,0.908125,0.812500,16.8238,50
1.0000,resize_0.5,0.999375,0.968750,16.8238,50
1.5000,center_crop_0.5,0.287500,0.000000,13.7277,50
1.5000,jpeg_q20,0.926250,0.843750,13.7277,50
1.5000,jpeg_q30,0.963125,0.906250,13.7277,50
1.5000,jpeg_q50,0.974375,0.968750,13.7277,50
1.5000,none,0.998750,0.968750,13.7277,50
1.5000,resize_0.25,0.915625,0.875000,13.7277,50
1.5000,resize_0.25_jpeg_q50,0.904375,0.843750,13.7277,50
1.5000,resize_0.5,0.996875,0.968750,13.7277,50
2.0000,center_crop_0.5,0.300625,0.000000,11.6677,50
2.0000,jpeg_q20,0.939375,0.906250,11.6677,50
2.0000,jpeg_q30,0.968750,0.906250,11.6677,50
2.0000,jpeg_q50,0.976250,0.968750,11.6677,50
2.0000,none,0.997500,0.968750,11.6677,50
2.0000,resize_0.25,0.921250,0.843750,11.6677,50
2.0000,resize_0.25_jpeg_q50,0.908750,0.812500,11.6677,50
2.0000,resize_0.5,0.995625,0.968750,11.6677,50
2.5000,center_crop_0.5,0.379375,0.000000,10.2051,50
2.5000,jpeg_q20,0.953125,0.875000,10.2051,50
2.5000,jpeg_q30,0.971250,0.968750,10.2051,50
2.5000,jpeg_q50,0.978750,0.968750,10.2051,50
2.5000,none,0.995625,0.968750,10.2051,50
2.5000,resize_0.25,0.926250,0.843750,10.2051,50
2.5000,resize_0.25_jpeg_q50,0.923750,0.875000,10.2051,50
2.5000,resize_0.5,0.995625,0.968750,10.2051,50
3.0000,center_crop_0.5,0.425000,0.000000,9.1551,50
3.0000,jpeg_q20,0.965000,0.906250,9.1551,50
3.0000,jpeg_q30,0.971875,0.968750,9.1551,50
3.0000,jpeg_q50,0.982500,0.968750,9.1551,50
3.0000,none,0.993750,0.968750,9.1551,50
3.0000,resize_0.25,0.929375,0.843750,9.1551,50
3.0000,resize_0.25_jpeg_q50,0.932500,0.875000,9.1551,50
3.0000,resize_0.5,0.994375,0.968750,9.1551,50
4.0000,center_crop_0.5,0.444375,0.000000,8.0336,50
4.0000,jpeg_q20,0.969375,0.968750,8.0336,50
4.0000,jpeg_q30,0.971875,0.968750,8.0336,50
4.0000,jpeg_q50,0.981250,0.968750,8.0336,50
4.0000,none,0.959375,0.906250,8.0336,50
4.0000,resize_0.25,0.930000,0.843750,8.0336,50
4.0000,resize_0.25_jpeg_q50,0.940625,0.875000,8.0336,50
4.0000,resize_0.5,0.993750,0.968750,8.0336,50
