scheme,tamper,localizer,mean_global_f1,mean_global_iou,mean_covered_f1,mean_covered_iou,mean_tamper_coverage,mean_bit_accuracy,num_images
distributed_q30_5block,black_center_25,clean_missing,0.370385,0.229229,0.944783,0.922231,0.243929,0.985000,50
distributed_q30_5block,black_center_25,expected_missing,0.359854,0.221200,0.952881,0.938018,0.234619,0.985000,50
distributed_q30_5block,black_center_25,prob_drop,0.388124,0.241386,0.974799,0.958303,0.248452,0.985000,50
distributed_q30_5block,remove_bottom_right_25,clean_missing,0.467641,0.305188,0.981516,0.964098,0.311642,0.988750,50
distributed_q30_5block,remove_bottom_right_25,expected_missing,0.457111,0.296298,0.987749,0.976008,0.300903,0.988750,50
distributed_q30_5block,remove_bottom_right_25,prob_drop,0.473917,0.310606,0.985570,0.971662,0.314867,0.988750,50
distributed_q30_5block,remove_center_25,clean_missing,0.390418,0.242582,0.989038,0.978421,0.243929,0.984375,50
distributed_q30_5block,remove_center_25,expected_missing,0.379664,0.234312,0.997215,0.994448,0.234619,0.984375,50
distributed_q30_5block,remove_center_25,prob_drop,0.396628,0.247408,0.992442,0.985206,0.248452,0.984375,50
distributed_q30_5block,remove_center_40,clean_missing,0.314937,0.186913,0.967313,0.936852,0.194204,0.979375,50
distributed_q30_5block,remove_center_40,expected_missing,0.303796,0.179108,0.974667,0.950640,0.185490,0.979375,50
distributed_q30_5block,remove_center_40,prob_drop,0.322945,0.192586,0.967549,0.937263,0.198592,0.979375,50
distributed_q30_5block,remove_top_left_25,clean_missing,0.466666,0.304360,0.983203,0.967083,0.309004,0.985625,50
distributed_q30_5block,remove_top_left_25,expected_missing,0.458534,0.297469,0.988995,0.978247,0.300903,0.985625,50
distributed_q30_5block,remove_top_left_25,prob_drop,0.471025,0.308083,0.983718,0.968181,0.312013,0.985625,50
distributed_q50_5block,black_center_25,clean_missing,0.352477,0.241909,0.533993,0.444038,0.541287,0.994375,50
distributed_q50_5block,black_center_25,expected_missing,0.288009,0.190319,0.493292,0.412443,0.461182,0.994375,50
distributed_q50_5block,black_center_25,prob_drop,0.611478,0.445856,0.879946,0.799385,0.554495,0.994375,50
distributed_q50_5block,remove_bottom_right_25,clean_missing,0.684268,0.520200,0.980446,0.961959,0.533270,0.996250,50
distributed_q50_5block,remove_bottom_right_25,expected_missing,0.660186,0.492816,0.993783,0.987863,0.498108,0.996250,50
distributed_q50_5block,remove_bottom_right_25,prob_drop,0.689469,0.526153,0.979866,0.960708,0.538429,0.996250,50
distributed_q50_5block,remove_center_25,clean_missing,0.690312,0.527147,0.981118,0.962975,0.541287,0.991875,50
distributed_q50_5block,remove_center_25,expected_missing,0.622238,0.451633,0.986084,0.972561,0.461182,0.991875,50
distributed_q50_5block,remove_center_25,prob_drop,0.701049,0.539775,0.979383,0.959662,0.554495,0.991875,50
distributed_q50_5block,remove_center_40,clean_missing,0.633195,0.463313,0.981626,0.963986,0.477818,0.986875,50
distributed_q50_5block,remove_center_40,expected_missing,0.579020,0.407499,0.983723,0.968045,0.420058,0.986875,50
distributed_q50_5block,remove_center_40,prob_drop,0.645252,0.476337,0.984092,0.968746,0.487353,0.986875,50
distributed_q50_5block,remove_top_left_25,clean_missing,0.680495,0.515744,0.981679,0.964194,0.527293,0.996250,50
distributed_q50_5block,remove_top_left_25,expected_missing,0.661475,0.494190,0.994971,0.990016,0.498108,0.996250,50
distributed_q50_5block,remove_top_left_25,prob_drop,0.683859,0.519622,0.978665,0.958545,0.532653,0.996250,50
single_center_50pct,black_center_25,clean_missing,0.019027,0.018144,0.019027,0.018144,1.000000,0.996875,50
single_center_50pct,black_center_25,expected_missing,0.019304,0.018655,0.019304,0.018655,1.000000,0.996875,50
single_center_50pct,black_center_25,prob_drop,0.019855,0.018970,0.019855,0.018970,1.000000,0.996875,50
single_center_50pct,remove_bottom_right_25,clean_missing,0.691770,0.528800,0.985200,0.970932,0.538597,0.990000,50
single_center_50pct,remove_bottom_right_25,expected_missing,0.668331,0.501880,0.995663,0.991379,0.505432,0.990000,50
single_center_50pct,remove_bottom_right_25,prob_drop,0.693477,0.530802,0.981370,0.963594,0.542201,0.990000,50
single_center_50pct,remove_center_25,clean_missing,0.986924,0.974233,0.986924,0.974233,1.000000,0.989375,50
single_center_50pct,remove_center_25,expected_missing,0.991543,0.983249,0.991543,0.983249,1.000000,0.989375,50
single_center_50pct,remove_center_25,prob_drop,0.985398,0.971265,0.985398,0.971265,1.000000,0.989375,50
single_center_50pct,remove_center_40,clean_missing,0.981348,0.963633,0.981348,0.963633,1.000000,0.952500,50
single_center_50pct,remove_center_40,expected_missing,0.983529,0.967839,0.983529,0.967839,1.000000,0.952500,50
single_center_50pct,remove_center_40,prob_drop,0.987466,0.975334,0.987466,0.975334,1.000000,0.952500,50
single_center_50pct,remove_top_left_25,clean_missing,0.691675,0.528685,0.984760,0.970035,0.538403,0.993750,50
single_center_50pct,remove_top_left_25,expected_missing,0.667735,0.501209,0.993642,0.987381,0.505432,0.993750,50
single_center_50pct,remove_top_left_25,prob_drop,0.693137,0.530398,0.980601,0.962021,0.542165,0.993750,50
