scheme,tamper,localizer,mean_global_f1,mean_global_iou,mean_covered_f1,mean_covered_iou,mean_tamper_coverage,mean_bit_accuracy,num_images
dwsf_q30_5block,black_center_25,clean_missing,0.404917,0.253892,0.999757,0.999516,0.253923,1.000000,5
dwsf_q30_5block,black_center_25,expected_missing,0.384729,0.238196,0.978627,0.958960,0.240732,1.000000,5
dwsf_q30_5block,black_center_25,prob_drop,0.413419,0.260627,0.994244,0.988577,0.263105,1.000000,5
dwsf_q30_5block,remove_bottom_right_25,clean_missing,0.461446,0.299935,0.987236,0.974865,0.306808,1.000000,5
dwsf_q30_5block,remove_bottom_right_25,expected_missing,0.446893,0.287751,0.967821,0.938102,0.297950,1.000000,5
dwsf_q30_5block,remove_bottom_right_25,prob_drop,0.471504,0.308500,0.989696,0.979653,0.313137,1.000000,5
dwsf_q30_5block,remove_center_25,clean_missing,0.404874,0.253859,0.999491,0.998987,0.253923,1.000000,5
dwsf_q30_5block,remove_center_25,expected_missing,0.384715,0.238185,0.978534,0.958790,0.240732,1.000000,5
dwsf_q30_5block,remove_center_25,prob_drop,0.416001,0.262697,0.997476,0.995009,0.263105,1.000000,5
dwsf_q30_5block,remove_center_40,clean_missing,0.316658,0.188114,0.964974,0.932405,0.195918,1.000000,5
dwsf_q30_5block,remove_center_40,expected_missing,0.303436,0.178861,0.952815,0.910522,0.187369,1.000000,5
dwsf_q30_5block,remove_center_40,prob_drop,0.329819,0.197482,0.963651,0.929952,0.204362,1.000000,5
dwsf_q30_5block,remove_top_left_25,clean_missing,0.458482,0.297472,0.979668,0.960620,0.306943,1.000000,5
dwsf_q30_5block,remove_top_left_25,expected_missing,0.447812,0.288551,0.963672,0.930409,0.300812,1.000000,5
dwsf_q30_5block,remove_top_left_25,prob_drop,0.471410,0.308420,0.982671,0.966116,0.314808,1.000000,5
dwsf_q50_5block,black_center_25,clean_missing,0.572403,0.401218,0.916347,0.846819,0.472431,1.000000,5
dwsf_q50_5block,black_center_25,expected_missing,0.563455,0.392945,0.905534,0.829684,0.467400,1.000000,5
dwsf_q50_5block,black_center_25,prob_drop,0.601019,0.429793,0.934968,0.878404,0.486801,1.000000,5
dwsf_q50_5block,remove_bottom_right_25,clean_missing,0.663752,0.496734,0.991717,0.983610,0.503927,1.000000,5
dwsf_q50_5block,remove_bottom_right_25,expected_missing,0.650786,0.482385,0.975454,0.952263,0.497416,1.000000,5
dwsf_q50_5block,remove_bottom_right_25,prob_drop,0.671600,0.505585,0.992857,0.985858,0.511036,1.000000,5
dwsf_q50_5block,remove_center_25,clean_missing,0.626434,0.456087,0.976750,0.954597,0.472431,1.000000,5
dwsf_q50_5block,remove_center_25,expected_missing,0.618640,0.447889,0.968622,0.939315,0.467400,1.000000,5
dwsf_q50_5block,remove_center_25,prob_drop,0.640710,0.471411,0.975985,0.953123,0.486801,1.000000,5
dwsf_q50_5block,remove_center_40,clean_missing,0.582500,0.410945,0.972934,0.947431,0.428403,1.000000,5
dwsf_q50_5block,remove_center_40,expected_missing,0.575512,0.404042,0.968209,0.938624,0.422927,1.000000,5
dwsf_q50_5block,remove_center_40,prob_drop,0.596838,0.425401,0.972839,0.947512,0.439676,1.000000,5
dwsf_q50_5block,remove_top_left_25,clean_missing,0.659084,0.491552,0.988776,0.977983,0.500836,1.000000,5
dwsf_q50_5block,remove_top_left_25,expected_missing,0.651181,0.482848,0.975011,0.951523,0.498809,1.000000,5
dwsf_q50_5block,remove_top_left_25,prob_drop,0.668060,0.501582,0.988773,0.977898,0.509149,1.000000,5
single_center_50pct,black_center_25,clean_missing,0.096595,0.063647,0.096595,0.063647,1.000000,1.000000,5
single_center_50pct,black_center_25,expected_missing,0.096529,0.063589,0.096529,0.063589,1.000000,1.000000,5
single_center_50pct,black_center_25,prob_drop,0.184190,0.151685,0.184190,0.151685,1.000000,1.000000,5
single_center_50pct,remove_bottom_right_25,clean_missing,0.661272,0.493968,0.989309,0.978920,0.504253,1.000000,5
single_center_50pct,remove_bottom_right_25,expected_missing,0.661204,0.493901,0.987446,0.975269,0.505108,1.000000,5
single_center_50pct,remove_bottom_right_25,prob_drop,0.666184,0.499466,0.992894,0.985916,0.505671,1.000000,5
single_center_50pct,remove_center_25,clean_missing,0.983902,0.968336,0.983902,0.968336,1.000000,1.000000,5
single_center_50pct,remove_center_25,expected_missing,0.983510,0.967572,0.983510,0.967572,1.000000,1.000000,5
single_center_50pct,remove_center_25,prob_drop,0.987527,0.975418,0.987527,0.975418,1.000000,1.000000,5
single_center_50pct,remove_center_40,clean_missing,0.969782,0.941720,0.969782,0.941720,1.000000,0.987500,5
single_center_50pct,remove_center_40,expected_missing,0.970332,0.942718,0.970332,0.942718,1.000000,0.987500,5
single_center_50pct,remove_center_40,prob_drop,0.976186,0.953802,0.976186,0.953802,1.000000,0.987500,5
single_center_50pct,remove_top_left_25,clean_missing,0.662380,0.495215,0.989401,0.979060,0.502539,1.000000,5
single_center_50pct,remove_top_left_25,expected_missing,0.655970,0.488096,0.986024,0.972505,0.496918,1.000000,5
single_center_50pct,remove_top_left_25,prob_drop,0.665616,0.498827,0.986884,0.974260,0.506221,1.000000,5
