image,scheme,attack,msg_a,msg_b,pred_msg_a_slot,pred_msg_b_slot,msg_a_accuracy,msg_b_accuracy,both_success,slot_a_pixels,slot_b_pixels,psnr_watermarked,psnr_attacked
alpaca.jpg,overlap_replace_same_region,none,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19541,19541,39.2705,39.2705
alpaca.jpg,overlap_replace_same_region,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19542,19542,39.2705,26.5633
alpaca.jpg,overlap_replace_same_region,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19541,19541,39.2705,23.3966
alpaca.jpg,disjoint_append_side_regions,none,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19573,15694,36.4057,36.4057
alpaca.jpg,disjoint_append_side_regions,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19574,15710,36.4057,26.3830
alpaca.jpg,disjoint_append_side_regions,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19569,15697,36.4057,23.3034
ducks.jpg,overlap_replace_same_region,none,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,18630,18630,44.5467,44.5467
ducks.jpg,overlap_replace_same_region,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,18605,18605,44.5467,33.9576
ducks.jpg,overlap_replace_same_region,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,18685,18685,44.5467,32.3491
ducks.jpg,disjoint_append_side_regions,none,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19039,14639,41.1803,41.1803
ducks.jpg,disjoint_append_side_regions,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,18769,14475,41.1803,33.6028
ducks.jpg,disjoint_append_side_regions,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,18909,14497,41.1803,32.0984
gauguin_256.jpg,overlap_replace_same_region,none,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19570,19570,42.7868,42.7868
gauguin_256.jpg,overlap_replace_same_region,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,10010011011100010001000101000101,10010011011100010001000101000101,0.468750,0.750000,0,14529,14529,42.7868,31.6887
gauguin_256.jpg,overlap_replace_same_region,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,10010000011000011001000101000101,10010000011000011001000101000101,0.468750,0.625000,0,14239,14239,42.7868,30.3930
gauguin_256.jpg,disjoint_append_side_regions,none,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19547,15537,39.2739,39.2739
gauguin_256.jpg,disjoint_append_side_regions,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,10010000100100011000001000100000,00000011000100011000001100100000,0.750000,0.656250,0,18849,12716,39.2739,31.6041
gauguin_256.jpg,disjoint_append_side_regions,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,10010000100100011000001000000100,01000001000100011000101100000000,0.750000,0.656250,0,19204,14280,39.2739,30.3442
seabackground.jpg,overlap_replace_same_region,none,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19562,19562,41.2623,41.2623
seabackground.jpg,overlap_replace_same_region,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,15548,15548,41.2623,27.3203
seabackground.jpg,overlap_replace_same_region,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,14825,14825,41.2623,21.4234
seabackground.jpg,disjoint_append_side_regions,none,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19552,15681,38.5694,38.5694
seabackground.jpg,disjoint_append_side_regions,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101101101,1.000000,0.968750,0,14456,11691,38.5694,27.2290
seabackground.jpg,disjoint_append_side_regions,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,15369,11686,38.5694,21.4024
trex_bike.jpg,overlap_replace_same_region,none,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,19313,19313,42.4676,42.4676
trex_bike.jpg,overlap_replace_same_region,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,16656,16656,42.4676,31.5356
trex_bike.jpg,overlap_replace_same_region,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,00010011010111010000101101001101,00010011010111010000101101001101,0.531250,1.000000,0,16594,16594,42.4676,27.8583
trex_bike.jpg,disjoint_append_side_regions,none,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,19371,15096,40.0173,40.0173
trex_bike.jpg,disjoint_append_side_regions,jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,18219,10762,40.0173,31.3592
trex_bike.jpg,disjoint_append_side_regions,resize_0.5_jpeg_q50,11010110100110011110001000101100,00010011010111010000101101001101,11010110100110011110001000101100,00010011010111010000101101001101,1.000000,1.000000,1,18710,12011,40.0173,27.7733
